name,latitude,longitude,locality,region,postcode,address,date_closed
Portland Roasting Coffee,45.517532,-122.67785,Portland,OR,97204,700 SW 5th Ave,
Spunky Monkey Coffee Roasters,45.46778485633606,-122.69360012627952,Portland,OR,97219,7900 SW Barbur Blvd,
40 Lbs Coffee Bar,45.516954147944915,-122.67489417432667,Portland,OR,97204,824 SW 2nd Ave,
Java Hound Coffee Bar,45.527377,-122.698268,Portland,OR,97210,610 NW 23rd Ave,
Pier Coffee,45.52798,-122.668197,Portland,OR,97209,500 NW Naito Pkwy,2011-04-27
Dawn Patrol Coffee,45.540692,-122.67319099999999,Portland,OR,97227,670 N Russell St,2024-11-14
Portland Coffee House Broadway,45.52019061613068,-122.67937628385422,Portland,OR,97205,603 SW Broadway,
Good Coffee,45.514443,-122.653446,Portland,OR,97214,1150 SE 12th Ave,
Bentos Coffee & Cookies,45.515486985971684,-122.67872510817881,Portland,OR,97204,431 SW Madison St,
Holy Beanz Coffee,45.55888311850202,-122.63856893611944,Portland,OR,97211,,
Never Coffee,45.521406,-122.683751,Portland,OR,97205,537 SW 12th Ave,
Angelfire Coffee Roasters,45.4450058894897,-122.72625565339112,Portland,OR,97219,11136 SW Capitol Hwy,
Daydreamer Coffee,45.594475147205834,-122.73863812851316,Portland,OR,97203,7315 N Fessenden St,
Coffee People,45.56668455291816,-122.66183281126743,Portland,OR,97211,6003 NE M L King Blvd,
Zeldas Coffee House & Bagel Bar,45.467109236707,-122.56509023179198,Portland,OR,97266,7708 SE Aspen Summit Dr,
Claddagh Coffee,45.46396,-122.57931,Portland,OR,97266,8145 SE 82nd Ave,
Day Lily Coffee Shop,45.54765648611941,-122.67584724328617,Portland,OR,97227,912 N Fremont St,
Coopers Coffee,45.519254,-122.601273,Portland,OR,97215,6049 SE Stark St,2013-07-29
Rust Coffee Lounge,45.53750757919595,-122.62148464308454,Portland,OR,97212,2035 NE 41st Ave,
Tullys Coffee,45.535131,-122.655803,Portland,OR,97232,935 NE Broadway St,2013-10-28
"Vacancy Pdx - Fashion, Live Music, Coffee, Cocktails, Event Space + Art Gallery",45.522277134205225,-122.64376044273376,Portland,OR,97214,2137 E Burnside St Ste C,
Seven Virtues Coffee Roasters,45.52910266426836,-122.63759871850307,Portland,OR,97232,2705 NE Sandy Blvd,
Coffee Stop Espresso,45.53426923976707,-122.47677273218022,Portland,OR,97230,18140 NE Halsey St,
Coffee Rush,45.44350363505558,-122.80334671715363,Portland,OR,97223,12210 SW Scholls Ferry Rd,
Cyclemaster Coffee,45.57725639517004,-122.69509416764251,Portland,OR,97217,2747 N Lombard St,
Upper Left Roasters,45.51926013284014,-122.6779881619023,Portland,OR,97204,555 SW Morrison St,
Spielman Bagels & Coffee Roasters,45.50494183223341,-122.64424675456253,Portland,OR,97202,2111 SE Division St,
Speedboat Coffee,45.496335021379046,-122.60959659477656,Portland,OR,97206,5115 SE Foster Rd,
Internet & Coffeetime,45.49786047629358,-122.5781557887158,Portland,OR,97266,8201 SE Powell Blvd,
Coffee People,45.51931994612285,-122.55815087538713,Portland,OR,97216,10215 SE Stark St,
Groundwork Coffee Co.,45.53707015381746,-122.69997291074232,Portland,OR,97210,2355 NW Vaughn St,
Stumptown Coffee Roasters,45.516355296264706,-122.62969145737858,Portland,OR,97214,3356 SE Belmont St,
Donnas Coffee Delights,45.53200594143232,-122.65241173222167,Portland,OR,97232,2201 Lloyd Ctr,
Exquisite Creatures Coffee,45.521588,-122.660231,Portland,OR,97214,,
Piroshki & A Pickle Coffeehouse,45.51941453216596,-122.6829774482091,Portland,OR,97205,1023 SW Yamhill St,2014-05-13
Rose City Coffee,45.498634486411355,-122.65381365437294,Portland,OR,97202,3370 SE Milwaukie Ave,
Kalesa Coffee X Tito Rico’S Merienda,45.503496,-122.639843,Portland,OR,97202,2525 SE Clinton St,
Heart Coffee Roasters,45.523023323647706,-122.64324826289413,Portland,OR,97214,2211 E Burnside St,
Chakraw Coffee,45.499424020199086,-122.61113862253461,Portland,OR,97206,3210 SE 50th Ave,
Tov Coffee & Tea,45.51217,-122.625946,Portland,OR,97214,3939 SE Hawthorne Blvd.,
All Your Heart Coffee,45.495096,-122.671092,Portland,OR,97239,3875 S Bond Ave,
Futura Coffee Roasters,45.57013888858587,-122.68245058822892,Portland,OR,97217,1507 N Rosa Parks Way,
Kind Coffee,45.51664592648581,-122.61841500008993,Portland,OR,,4255 SE Belmont St,
Ristretto Roasters,45.52371749781559,-122.65986441788661,Portland,OR,97232,555 NE Couch St,2020-03-18
No Wave Coffee,45.5826636420374,-122.72370537600945,Portland,OR,97203,7510 N Portsmouth Ave,
Oblique Coffee Roasters,45.519421170806666,-122.63401067295567,Portland,OR,97214,3039 SE Stark St,
Colombian Coffee Beans,45.43440777813565,-122.766528741363,Portland,OR,97223,11945 SW Pacific Hwy Ste 100,
Cathedral Coffee,45.58416092520112,-122.74608206454742,Portland,OR,97203,7530 N Willamette Blvd,
Phoenix Roasters Company,45.50497185802622,-122.62738759310808,Portland,OR,97214,3551 SE Division St,2021-08-12
B Street Coffee House,45.523200730345856,-122.69622030803325,Portland,OR,97210,2190 W Burnside St,2023-05-29
Coopers Coffee House,45.51187022676049,-122.6662662773045,Portland,OR,97214,1515 SE Water Ave,2018-07-20
Raleighwood Coffee Office,45.4926873008626,-122.7462663684835,Portland,OR,97225,,
Grendels Coffee House,45.52295963716384,-122.65773216825444,Portland,OR,97214,727 E Burnside St.,
Coffee Lab Pdx,45.537972,-122.706989,Portland,OR,97210,2701 NW Vaughn St,
Drunken Sailor Coffee,45.59969426310913,-122.78612392368748,Portland,OR,97231,,
Aroma Coffee Company,45.54095272687714,-122.71763327549118,Portland,OR,97210,3460 NW Industrial St,
Jackman Joe Coffee,45.53106985110045,-122.6877785671351,Portland,OR,97209,1111 NW 16th Ave,
Coffee Fest 2014,45.527425,-122.661966,Portland,OR,,,2014-10-22
Loro Coffee,45.518956,-122.581772,Portland,OR,97215,,
Coffee Bar At Whole Foods,45.536866,-122.618717,Portland,OR,97213,,2024-09-14
Ole Latte Coffee,45.52093666222646,-122.68214954649606,Portland,OR,97205,1003 SW Alder St,
Coopers Coffee,45.5190720097594,-122.61596525844386,Portland,OR,97215,4500 SE Stark St,2018-06-03
A Coffee Joint,45.50469294983531,-122.6328842839836,Portland,OR,97202,3158 SE Division St,
Euko Coffee & Company,45.54661643835598,-122.66761134624159,Portland,OR,97227,3290 N Vancouver Ave,
Seven Virtues Coffee Roasters,45.52635376939189,-122.6023579029365,Portland,OR,97213,5936 NE Glisan St,
Coffee People,45.59008390541101,-122.5912059327105,Portland,OR,,Concourse E,2017-07-12
Schondecken Coffee Roasters,45.47404405,-122.64998445,Portland,OR,97202,6720 SE 16th Ave,2015-08-24
Clive Coffee,45.51833356275133,-122.65803085280203,Portland,OR,97214,738 SE Washington St,
Good Coffee,45.587482,-122.59323,Portland,OR,97218,Concourse B,
Bold Coffee Roasters,45.54052018979074,-122.51229419705724,Portland,OR,97230,2424 NE 146th Dr,
Interstate Coffee,45.53924697302189,-122.67554942513316,Portland,OR,97227,,2021-11-11
Mount Tabor Roastery,45.52625073117439,-122.59183930277919,Portland,OR,97213,6922 NE Glisan St,2018-12-23
Five Points Coffee Roasters,45.47769002186516,-122.67257487944998,Portland,OR,97239,0614 SW Dakota St,
Portlands Coffee Break,45.51923369,-122.51418032,Portland,OR,97233,14425 SE Stark St,2015-02-05
Sterling Coffee At M Bar,45.525796222344425,-122.69450928599511,Portland,OR,97209,,
Seattles Best Coffee,45.4361463411976,-122.57368802613901,Portland,OR,97086,12000 SE 82nd Ave #2181,2024-10-19
Moto Coffee,45.47783245691441,-122.64905324146025,Portland,OR,97202,,
Glendels Coffee House,45.527667361003736,-122.66049158358906,Portland,OR,97232,,
K&F Coffee Roasters,45.50270786706001,-122.65208728732019,Portland,OR,97202,2801 SE 14th Ave,
Pdx Cars & Coffee,45.408518191595235,-122.74648531179432,Portland,OR,97224,,
Deadstock Coffee,45.523768053645945,-122.67472114821295,Portland,OR,97209,408 NW Couch St,
Aman Family Backyard Oasis & Coffee Shop,45.5308119001156,-122.79456498627553,Portland,OR,,,
Last Drop Coffee,45.55839579889491,-122.86579597172167,Portland,OR,97229,18365 NW West Union Rd,
Good Coffee,45.50540274954272,-122.6132713825118,Portland,OR,97206,4747 SE Division St,
Case Study Coffee,45.540924,-122.60828,Portland,OR,97213,5347 NE Sandy Blvd,
Awake Coffee & Art,45.47144297875775,-122.64867112051205,Portland,OR,97202,7325 SE Milwaukie Ave,
40 Lbs Coffee & Bar,45.515827,-122.675544,Portland,OR,97204,101 SW Main St,
The Coffee Shop,45.48537749938432,-122.74976918817524,Portland,OR,97225,4712 SW Scholls Ferry Rd,
Mcmenamins Coffee Roasters,45.542416301196475,-122.66101243660313,Portland,OR,97212,421 NE Knott St,
Coffee Time,45.40645676014394,-122.79736434746985,Portland,OR,97224,15555 SW 116th Ave,
Coffee Court,45.516491,-122.677657,Portland,OR,97204,1120 SW 4th,
Belmont Coffee Service,45.5398269942671,-122.67815589223801,Portland,OR,97227,2335 N Harding Ave,
Slow Pour Coffee + Bar,45.46096735875754,-122.64675271083573,Portland,OR,97202,8524 SE 17th Ave,
Ovation Coffee & Tea,45.51138647771134,-122.68075895577515,Portland,OR,97201,,
American Barista & Coffee School,45.5151630683212,-122.66630985310188,Portland,OR,97214,1028 SE Water Ave #275,
Fairleys Soda Fountain & Coffee House,45.54837138016071,-122.58844332032346,Portland,OR,97213,7206 NE Sandy Blvd,
Coffeehouse Northwest,45.52318824157863,-122.6914214558197,Portland,OR,97209,1951 W Burnside St,2022-04-09
Third Wave Coffee Tours,45.528732,-122.681405,Portland,OR,97209,,
Driftwood Coffee,45.475951237637645,-122.72454940455452,Portland,OR,97219,4604 SW Vermont St,
Triumph Coffee,45.5213553039373,-122.65389742116812,Portland,OR,97214,201 SE 12th Ave,
Coffee People,45.548429412723365,-122.61084008882838,Portland,OR,97213,Northeast Martin Luther King Junior Boulevard,
Boyd Coffee Company,45.543610442455154,-122.46031149823071,Portland,OR,97230,19730 NE Sandy Blvd,
Haven Coffee Co.,45.53524,-122.70825,Portland,OR,97210,2772 NW Thurman St,
Coffee Quest,45.526943,-122.645647,Portland,OR,97232,541 NE 20th Ave,
Thousand Coffee Bean Cafe,45.516928869021214,-122.680460944314,Portland,OR,97205,1000 SW Broadway,
Leos Coffee Shop,45.519079,-122.683746,Portland,OR,97205,837 SW 11th Ave,2018-04-29
Portland Coffee Roasters,45.58982203939503,-122.59255170822144,Portland,OR,97218,Concourse E,
Jet Black Coffee Company,45.533894317355966,-122.54775583094488,Portland,OR,,11150 NE Weidler St,
World Cup Coffee/Ecotrust,45.528394733333336,-122.68087935,Portland,OR,97209,NW 9th Ave,2012-02-13
Rainier Roaster,45.45036299619744,-122.78088730238667,Portland,OR,97223,9627 SW Washington Square Rd,2018-04-29
Boyds Coffee - Pearl,45.52584572126929,-122.6821391739852,Portland,OR,97209,404 NW 11th Ave,
Rocky Butte Coffee Roasters,45.57011550774605,-122.61529469493325,Portland,OR,97218,6540 NE 42nd Ave,
Upper Left Roasters,45.511407,-122.653412,Portland,OR,97214,1204 SE Clay St,
Sterling Coffee Roasters,45.525977855667286,-122.69435325082333,Portland,OR,97209,518 NW 21st Ave,
Aliviar Coffeehouse,45.53581458643373,-122.62088514704928,Portland,OR,97212,4128 NE Sandy Blvd,2016-04-16
Dans Coffee House,45.50794299098837,-122.62449266488716,Portland,OR,97214,,
Oakgrove Coffee House,45.416629791259766,-122.640869140625,Portland,OR,97267,2144 SE Oak Grove Blvd,
World Cup Coffee & Tea House,45.52839933839653,-122.6805921169021,Portland,OR,97209,721 NW 9th Ave,
Park Place Coffee,45.51373670755264,-122.4754107043663,Portland,OR,97233,1288 SE 182nd Ave,
Sweet Things Bakehouse & Coffee Bar,45.55898308753967,-122.6616683,Portland,OR,97211,4943 NE M L King Blvd,2012-02-29
Coffeetown,45.51553779868944,-122.67546580658201,Portland,OR,97204,101 SW Main St,
Annies Coffee Company,45.51210021972656,-122.68316650390625,Portland,OR,97201,1728 SW Broadway,
Essence Coffee & Tea,45.48443816866568,-122.67601355193887,Portland,OR,97239,5331 SW Macadam Ave,
Coffee Amerigo,45.51595242522818,-122.67588425057289,Portland,OR,97204,1000 SW 3rd Ave,
Never Coffee,45.516599408632956,-122.61871077193587,Portland,OR,97214,4243 SE Belmont St,
Cortado Coffee,45.53062,-122.658508,Portland,OR,97232,1094 NE 7th Ave,
Cotta Coffee Cart,45.509659,-122.698675,Portland,OR,97201,1922 SW Elm St,
Village Coffee,45.46833563736485,-122.7126610179885,Portland,OR,97219,7781 SW Capitol Hwy,
Muddys Coffeehouse,45.548781,-122.67536723,Portland,OR,97227,3560 N Mississippi Ave,2014-05-26
Coffee Beach Cafe,45.60798806028345,-122.67741949401741,Portland,OR,,12010 N Jantzen Dr,
Peets Coffee & Tea,45.48475182954762,-122.75570098596681,Portland,OR,97225,,
Spielman Coffee & Bagels,45.468681711387255,-122.71082296279101,Portland,OR,97219,7713 SW Capitol Hwy,
Case Study Coffee Roasters,45.516601,-122.67703300000001,Portland,OR,,932 SW 4th Ave,
World Cup Coffee & Tea,45.52631112484447,-122.68922344317693,Portland,OR,97209,1740 NW Glisan St,2023-05-29
Refuge Coffee House,45.47984375690294,-122.56809280479078,Portland,OR,97266,9217 SE Foster Rd,
Peets Coffee & Tea,45.5903626081006,-122.59358167648317,Portland,OR,97218,Concourse D,
Tinys Coffee North East,45.537653,-122.661841,Portland,OR,97212,2031 NE M L King Blvd,
Buckman Coffee Factory,45.51359394118351,-122.65461402069549,Portland,OR,,1005 SE Main,
Coffee Beer,45.49282594868526,-122.61881053447723,Portland,OR,97206,4142 SE 42nd Ave.,
Nossa Familia Coffee,45.504978132451015,-122.64556930530424,Portland,OR,97202,2007 SE Division St,
Coffee Plant - Downtown,45.520934,-122.679122,Portland,OR,97205,724 SW Washington St,2012-03-12
Coffee Creations,45.505006357191185,-122.47627636118393,Portland,OR,97236,18145 SE Division St,
Jory Coffee Co.,45.550543881778715,-122.67590082638407,Portland,OR,97227,3845 N Mississippi Ave,
Code 3 Coffee,45.52223638092556,-122.67066692444861,Portland,OR,97204,,
Coffee.Cup,45.52638771686652,-122.80580850149859,Portland,OR,97229,12505-12593 NW Cornell Rd,
Marigold Coffee,45.49052730734865,-122.63722725726619,Portland,OR,97202,2801 SE Holgate Blvd,
Powell’S Books Coffee Room,45.52313,-122.681721,Portland,OR,97209,1005 W Burnside St,
Torrefazione Italia Coffee,45.51198071632552,-122.68220029545058,Portland,OR,,,
The Sadona Coffee Co.,45.4954019012057,-122.67175740131876,Portland,OR,,3838 S Moody Ave,
Black Coffee Co.,45.533756956929416,-122.69022989720149,Portland,OR,97209,1502 NW 19th Ave,
Coffee Trader,45.52090492925904,-122.67476629991462,Portland,OR,97204,310 SW 4th Ave,
Ugly Mug Coffeehouse,45.46548258759828,-122.65312544995594,Portland,OR,97202,8017 SE 13th Ave,2017-09-01
Stumptown Coffee Roasters,45.588645,-122.588513,Portland,OR,97218,Concourse E,
Johns Coffee Shop,45.52517759770829,-122.6776307275351,Portland,OR,97209,301 NW Broadway,
Water Avenue Coffee Company,45.51826034902281,-122.67939195936316,Portland,OR,97204,811 SW 6th Ave,2023-09-01
Mud Coffee,45.535383595868076,-122.62063263643729,Portland,OR,97212,4128 NE Sandy Blvd,2020-02-15
Coffee People,45.5118661880109,-122.62850414842015,Portland,OR,97214,3500 SE Hawthorne Blvd,
Ds Coffee Cabana,45.5176412520338,-122.5358738121189,Portland,OR,97233,616 SE 122nd Ave,
Jazzkats Coffee Bar,45.53691762381965,-122.6206649767954,Portland,OR,97213,1925 NE 42nd Ave,
Coffee Port,45.55699262757379,-122.70240457383093,Portland,OR,97217,4715 N Lagoon Ave Ste A,
Mudd Coffeehouse,45.49266012991794,-122.6764525753809,Portland,OR,97239,4237 SW Corbett Ave,
Upstream Coffee & Eatery,45.51019797475512,-122.67383664375926,Portland,OR,,0315 SW Montgomery St Ste 200,
Full Life Coffee Shop,45.53219447069421,-122.6300419480871,Portland,OR,97232,3331 NE Sandy Blvd,
Mudd Works Roastery,45.521632425723396,-122.6599006070038,Portland,OR,97214,537 SE Ash St Ste 108,
Coffeehouse Five,45.562612,-122.674833,Portland,OR,97217,740 N Killingsworth St,
Autumn Coffee Roasting,45.56265,-122.63075,Portland,OR,97211,3286 NE Killingsworth St,
Blue Hill Robot Coffee,45.519008,-122.677557,Portland,OR,97204,,
Cyclemaster Coffee Co.,45.57735745026211,-122.69564567338111,Portland,OR,97217,2747 N Lombard St,
Bridgetown Coffee Annex,45.53103298930046,-122.68785359423471,Portland,OR,97209,1111 NW 16th Ave,
Coava Coffee,45.5121628885553,-122.6385397875284,Portland,OR,97214,2631 SE Hawthorne Blvd,
Coffee Time,45.55860499247764,-122.68511218865957,Portland,OR,97217,,
Courier Coffee,45.52265235360441,-122.68075313254027,Portland,OR,97205,923 SW Oak St,
Kiss Coffee,45.56608442735055,-122.63450006448053,Portland,OR,97211,3016 NE Ainsworth St,
Giacobbos Coffee House,45.523140848554135,-122.69621596226169,Portland,OR,97210,2190 W Burnside St,
Java Man Coffee,45.52486677636785,-122.67225568719691,Portland,OR,97209,220 NW 2nd Ave,2018-06-05
Fireside Coffee Lodge,45.50099358518401,-122.65204147294824,Portland,OR,97202,1223 SE Powell Blvd,
Black Rock Coffee Bar,45.46548915268417,-122.7549906067681,Portland,OR,97223,,
Five Mississippi Coffee,45.554356773659244,-122.67571052729356,Portland,OR,97217,4233 N Mississippi Ave,
Coava Coffee Roasters | Public Brew Bar & Roastery,45.51390553740925,-122.65530283143251,Portland,OR,97214,1015 SE Main St,
Touchstone Coffee House,45.52660013235327,-122.58416824208075,Portland,OR,97213,7631 NE Glisan St,
Bridgetown Coffee,45.539307753699944,-122.69536929123228,Portland,OR,97210,2101 NW York St,2024-06-27
The Arrow Coffeehouse,45.55890757167901,-122.66189275587907,Portland,OR,97211,4943 NE M L King Blvd,2021-01-23
Stumptown Coffee Roasters,45.588177777580974,-122.59453654289244,Portland,OR,97218,Concourse C,
Harder Day Coffee Company - Macadam,45.48444,-122.67598,Portland,OR,97239,5331 S Macadam Ave #122,
Dutch Bros Coffee,45.50388678912622,-122.52290621256287,Portland,OR,97236,13640 SE Division St,
Old School Coffee,45.50540754229877,-122.5800923173812,Portland,OR,97216,8102 SE Division St.,
The Third Place Coffeeshouse,45.53439014289362,-122.48603813816224,Portland,OR,97230,172nd,
Night Owl Roasters,45.5711778421872,-122.64054284935594,Portland,OR,97211,6633 NE 25th Ave,
Tin Man Coffee,45.52013565356583,-122.67191361446517,Portland,OR,,306 Sw 1st,
Compass Coffee Roasting,45.54661643835598,-122.66761134624159,Portland,OR,97227,3290 N Vancouver Ave,
Cams Coffee,45.56684665809672,-122.53803701578396,Portland,OR,97220,6033 NE Win Sivers Dr,
Awakening Coffee,45.416554,-122.641,Portland,OR,97267,2144 SE Oak Grove Blvd,
Bridgetown Coffee,45.53888228830075,-122.71352004059989,Portland,OR,97210,2330 NW 31st Ave,
Irish Bros. Coffee,45.544511034859866,-122.47788030985177,Portland,OR,97230,3007 NE 181st Ave,
Happy Cup Coffee Company,45.515014,-122.679045,Portland,OR,97204,1221 SW 4th Ave,
Coffee Net & Mr. Browns Bar-B-Que,45.533143460181776,-122.55726684193912,Portland,OR,97220,10249 NE Clackamas St,
Convivium Coffee,45.586549648773726,-122.72803112518432,Portland,OR,97203,8900 N Wall Ave,
Re-A Coffee Pub,45.534426894031206,-122.48596293260965,Portland,OR,97230,1590 NE 172nd Ave,
Coffee Angels,45.58049390950207,-122.67511577112009,Portland,OR,97217,844 N Winchell St,
Prince Coffee,45.54855611546275,-122.61652465319212,Portland,OR,97213,4523 NE Fremont St,
Boyds Coffee - Cultural District,45.516436661107065,-122.68405133787034,Portland,OR,97205,1229 SW 10th Ave,
Khora (Kôra) Coffeehouse,45.52322475332984,-122.64781557522043,Portland,OR,97232,15 NE 18th Ave,
Ristretto Roasters,45.52534766409408,-122.6842243092802,Portland,OR,97209,1355 NE Everett St,2019-01-10
Peets Coffee & Tea,45.589161,-122.593577,Portland,OR,97218,Main Terminal,
Coffee Passion Drive-Thru,45.505103180764536,-122.62219093452488,Portland,OR,97214,2440 SE Cesar E Chavez Blvd,
Wired Coffee,45.508306333449866,-122.62274531613288,Portland,OR,97214,2035 SE Cesar E Chavez Blvd,2005-12-16
Blue Tiger Coffee Service,45.57734983622121,-122.69136950702737,Portland,OR,97217,2361 N Lombard St Ste B,
Less & More Coffee,45.5182096569466,-122.67962136447098,Portland,OR,97204,811 SW 6th Ave,
Aurora Coffeehouse,45.54631208718771,-122.79205698072279,Portland,OR,97229,11200 NW Thompson Rd,
Mocha Mommas Good Coffee Cafe,45.478346,-122.649216,Portland,OR,97202,6116 SE Milwaukie Ave,2015-08-24
Dutch Bros Coffee,45.518707287940536,-122.49605800967468,Portland,OR,97233,16222 SE Stark St,
Rose City Coffee Company,45.47144297875775,-122.64867112051205,Portland,OR,97202,7325 SE Milwaukie Ave,2023-05-29
Pier Coffee,45.52821567918865,-122.67288637251434,Portland,OR,97209,600 NW Naito Pkwy Ste C,2024-05-25
Scott Coffee Drywall,45.413219058552926,-122.6042008943647,Portland,OR,97267,15161 SE Hickory Ct,
Futura Coffee Roasters,45.526635507792705,-122.58852410726166,Portland,OR,97213,,
Coffee Cabana,45.51834548295471,-122.51352971356981,Portland,OR,97233,,
Coava Coffee Bar,45.524843,-122.679987,Portland,OR,97209,830 NW Everett St (inside LCP),2013-07-10
